id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000100",Temple of the Nymphs,Nymphs,temple,,Rome,Rome,"423025",IT,41.895163,12.478714,,,,,,,,,,,F,August 23,god,Roman,,,,,,,,,"6079",,,,,,,,,,,,
"1000101",Temple of Ops Opifera,Ops Opifera,temple,Capitoline Hill,Rome,Rome,"423025",IT,41.895163,12.478714,,,"-250",-250-219,"-250","-219","-3",,,,F,August 23,concept,Roman,,,,,,,,,,,,,,,,,,,,,
"1000102",Temple of Pales,Pales,temple,Palatine Hill,Rome,Rome,"423025",IT,,,,,"-267",-267-219,"-267","-219","-3",,,,F,July 7,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000103",Pantheon,Pantheon,temple,Campus Martius,Rome,Rome,"423025",IT,41.89856,12.47685,"354",N,,"126","126",,"2",,,,M/F,,god,Roman,,,,,Vici.org,"7853","128044615",,"5664",,"Pantheon,_Rome",Q99309,,,,,"700000158",419125SPan,,,
"1000104",Temple of Pax,Peace,temple,,Rome,Rome,"423025",IT,41.8926,12.4876,"323",NW,,"75","75",,"1",,,,F,,concept,Roman,,,,,Orientation = Mars Ultor + 90,,,,,,"Temple_of_Peace,_Rome",Q1456939,,,,,,419125SPax,,,
"1000105",Temple of the Penates,Penates,temple,Velian Hill,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,M,,god,Roman,,,,,,,,,"10557",,,,,,,,,,,,
"1000106",Temple of Portunus,Portunus,temple,Forum Boarium,Rome,Rome,"423025",IT,41.889232,12.480883,"347",N,-292-260,-292-260,"-292","-219","-3",,,,M,August 17,god,Roman,,,Stamper,,"Vici.org; DARE","11602","494660670","22924","5932",rome/rome-photos/rome-temple-of-portunus,Temple_of_Portunus,Q849241,,,,,,419125SFoV,,,
"1000107",Temple of Quirinus,Quirinus,temple,Quirinal Hill,Rome,Rome,"423025",IT,,,,,"-325","-293","-293",,"-3",,,,M,February 17,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000108",Temple of Robigo,Robigo,sanctuary,,Rome,Rome,"423025",IT,41.959271,12.447668,,,,,,,,,,,F,,nature,Roman,,,,,DARE,,"423024","37158",,,,,,,,,,,,,
"1000109",Temple of Salus,Salus,temple,Quirinal Hill,Rome,Rome,"423025",IT,,,,,"-311","-303","-303",,"-4",,,,F,,concept,Roman,,,,,,,,,,,,,,,,,,,,,
