id,lat,long
"368228UOic - Oechalia? (Messenia?)",37.26,21.94
"368228UOlo - Olouros? (Achaia)",38.09,22.56
"368231UZar - Zarax (Lakonia)",36.787,23.088
"368233LMin - Minoa cape (Lakonia)",36.689,23.054
"368233UEpi - Epidelion (Lakonia)",36.64,23.03
"368238IHie - Hierakia (Cyclades)",36.842,23.887
"368245PKim - Agios Andreas site (Kimolos)",36.7884,24.527
"368246IKim - Kimolos (Cyclades)",36.8,24.55
"368246ILib - Libeia (Melos)",36.7562,24.577
"368246IPol - Polyaigos (Melos)",36.76,24.64
"368253IHer - Herakleia (Cyclades)",36.8496,25.4711
"368258HPan - Panormos (Naxos)",36.9613,25.5347
"368258IKer - Keria (Koufonisia)",36.891,25.637
"368258ISch - Schinoussa (Koufonisia)",36.87,25.519
"368258PArk - Arkesine (Amorgos)",36.809,25.8172
"368259IAmo - Amorgos (Cyclades)",36.8333,25.9
"368259PMin - Minoa (Amorgos)",36.821,25.8611
"368263IKin - Kinaros (Kinara)",36.978,26.284
"368268HPan - Panormos (Kalymnos)",36.9745,27.026
"368268LPri - Prion? Mt. (Kos)",36.7,26.95
"368271UAnt - Antimachia castle (Kos)",36.8031,27.1275
"368273IIst - Istros (Kos)",36.663,27.118
"368278IDia - Diabetai (Dodecanese)",36.573,27.753
"368278IHym - Hymos? (Kos)",36.6474,27.8465
"368282UKas - Kastabos (Caria)",36.7876,28.1768
"368283UAmo - Amos (Caria)",36.7564,28.2669
"368286UKau - Kaunos (Caria)",36.8259,28.6215
"368287UPas - Passanda (Caria)",36.7821,28.692
"368290UDai - Daidala (Caria)",36.7522,28.9763
"368314PSid - Side (Pamphylia)",36.768,31.391
"368346UAnc - Anchiale (Cilicia)",36.8013,34.604
"368355PMal - Mallos (Cilicia)",36.756,35.485
"368362UIss - Issos (Asia Minor)",36.752,36.216
"369103PCar - Carthage (Tunisia)",36.85,10.32
"369144PCam - Camarina (Sicily)",36.8721,14.4474
"369147UHyb - Hybla Heraia (Sicily)",36.9267,14.7421
"369151UAbo - Abolla (Sicily)",36.9099,15.1343
"369217ISph - Sphakteria (Messenia)",36.9301,21.6657
"369222PKar - Kardamyle (Messenia)",36.8848,22.2376
"369222UGer - Gerenia? (Messenia)",36.934,22.195
"369225UKro - Krokeai (Lakonia)",36.8712,22.5603
"369228UPle - Palaia/Pleiai (Lakonia)",36.8803,22.7923
"369256IPha - Phakoussai (Koufonisia)",36.9313,25.5985
"369260PAig - Aigiale (Amorgos)",36.9195,25.9803
"369262ILei - Leia? (Dodecanese)",36.908,26.166
"369273PKos - Cos (Dodecanese)",36.8914,27.2859
"369273SAsk - Asklepieion (Kos)",36.8757,27.257
"369283UPhy - Physkos (Caria)",36.8631,28.2769
"369284UPyr - Pyrnos (Caria)",36.885,28.4455
