id,ancient_name,lat,long,name,pleiades,latlong,country,city
36894,Tutzis,23.37638,32.93326,Dendur,795875,"23.37638,32.93326",EG, 
1834,,48.441735,6.73517,Deneuvre,108922,"48.441735,6.73517",FR, Deneuvre
20864,,49.7258412,6.9822534,Dhronecken,,"49.7258412,6.9822534",DE, Dhronecken
45404,,47.986389,9.053611,"Dianatempel, Heudorf, Meßkirch",,"47.986389,9.053611",DE, Meßkirch
22649,Didyma/Branchidai,37.384829,27.256115,Didim,599593,"37.384829,27.256115",TR, 
36598,Didymoi,37.500047,23.154194,Didyma?,570196,"37.500047,23.154194",GR, 
22690,Diktynnaion,35.663634,23.767831,Diktynnaion,589760,"35.663634,23.767831",GR, 
44343,Asklepieion,37.5399,22.0453,Dimitsana,,"37.5399,22.0453",GR, 
36888,,23.84491,32.88437,Dimri,795800,"23.84491,32.88437",EG, 
44927,,49.776583,7.701194,Disibodenberg,,"49.776583,7.701194",DE, Odernheim am Glan
36628,,36.50885,7.09796,Djebel Taya,305072,"36.50885,7.09796",DZ, Bouhamdane
36553,,35.1168,1.213,Djedars,285435,"35.1168,1.213",DZ, 
39141,,48.882706,11.263725,"Dolichenum, Pfünz",,"48.882706,11.263725",DE, Walting
2101,,51.56309,3.49681,Domburg,108929,"51.56309,3.49681",NL, Domburg
20882,,50.3036,1.91816,Dompierre-sur-Authie,,"50.3036,1.91816",FR, Dompierre-sur-Authie
